var,condition,pearson_ratio,family,beta,se,z,p,n_obs,p_adj
n_events,-0.6Alpha_2000Neurons,0.003257005310021999,Gamma,-0.000534007983786114,0.012697156640145224,-0.04205728880257448,0.9664530286206727,250,0.9664530286206727
n_events,-0.6Alpha_10000Neurons,0.003257005310021999,Gamma,-0.014413199127147286,0.011601655135011633,-1.2423399040410137,0.21411117831544968,250,0.3854001209678094
n_events,-0.6Alpha_AllSigNeurons,0.003257005310021999,Gamma,0.017202504547605243,0.009194925122720571,1.8708694544013218,0.06136317777720541,250,0.18408953333161623
n_tokens,0.2Alpha_2000Neurons,0.01520894895130802,Gamma,-0.0018820571627543195,0.027313759213561488,-0.06890509460960115,0.94506516324835,250,0.94506516324835
n_tokens,0.2Alpha_10000Neurons,0.01520894895130802,Gamma,-0.03554390537757019,0.02898692897409107,-1.2262045906739496,0.22012169419579974,250,0.2830136068231711
n_tokens,0.2Alpha_AllSigNeurons,0.01520894895130802,Gamma,-0.042453976602186534,0.02677578247514517,-1.5855363570269054,0.11284452321512316,250,0.20075337651611955
n_tokens,0.6Alpha_2000Neurons,0.01520894895130802,Gamma,-0.08776552030015113,0.04227505902592173,-2.0760590835919612,0.037888486821958965,250,0.1136654604658769
n_tokens,0.6Alpha_10000Neurons,0.01520894895130802,Gamma,-0.1377455787443647,0.031713239441106336,-4.3434723532475354,1.4024813442995276e-05,250,0.0001262233209869575
n_tokens,0.6Alpha_AllSigNeurons,0.01520894895130802,Gamma,-0.10798161453261201,0.036605181144432015,-2.9498997452451348,0.0031787705956351025,250,0.014304467680357962
n_tokens,-0.6Alpha_2000Neurons,0.01520894895130802,Gamma,-0.006937180113096109,0.03133918350961192,-0.22135803604993196,0.8248136643236652,250,0.9279153723641234
n_tokens,-0.6Alpha_10000Neurons,0.01520894895130802,Gamma,0.04773950011908668,0.026983901091199573,1.7691845207161785,0.07686308653447892,250,0.17294194470257757
n_tokens,-0.6Alpha_AllSigNeurons,0.01520894895130802,Gamma,0.03873732778079633,0.025839584836788967,1.4991466784576304,0.1338355843440797,250,0.20075337651611955
lex_density,0.2Alpha_2000Neurons,0.0002468823523520136,Gaussian,-0.0027136140776503194,0.004317716307969893,-0.6284836436894596,0.5296871581889251,250,0.5773552175150531
lex_density,0.2Alpha_10000Neurons,0.0002468823523520136,Gaussian,-0.006531370478332742,0.004066358381170486,-1.606196470182422,0.10823074868646924,250,0.17540252739901416
lex_density,0.2Alpha_AllSigNeurons,0.0002468823523520136,Gaussian,-0.005952979286800059,0.0036626432666149377,-1.6253232579491368,0.10409369823513549,250,0.17540252739901416
lex_density,0.6Alpha_2000Neurons,0.0002468823523520136,Gaussian,0.004204235329068609,0.003928510002780337,1.0701857259096024,0.2845357180960869,250,0.36583163755211173
lex_density,0.6Alpha_10000Neurons,0.0002468823523520136,Gaussian,-0.018029439509913356,0.004007236668867687,-4.4992200360873325,6.820323536905716e-06,250,6.138291183215144e-05
lex_density,0.6Alpha_AllSigNeurons,0.0002468823523520136,Gaussian,-0.01540307829848425,0.00578898247827971,-2.660757457165689,0.007796509632139351,250,0.035084293344627086
lex_density,-0.6Alpha_2000Neurons,0.0002468823523520136,Gaussian,0.0017370348197429972,0.0031171437674382954,0.5572520709144296,0.5773552175150531,250,0.5773552175150531
lex_density,-0.6Alpha_10000Neurons,0.0002468823523520136,Gaussian,0.006668735206260046,0.004253646162911916,1.5677691446001312,0.11693501826600944,250,0.17540252739901416
lex_density,-0.6Alpha_AllSigNeurons,0.0002468823523520136,Gaussian,-0.006832356860708462,0.00323341550127008,-2.1130463616645385,0.03459679993702944,250,0.10379039981108831
mattr,0.2Alpha_2000Neurons,0.0002360273887472465,Gaussian,0.0012259404966351323,0.004036977491214209,0.3036778132410156,0.7613733626877969,250,0.9402285751933617
mattr,0.2Alpha_10000Neurons,0.0002360273887472465,Gaussian,0.008481606869832804,0.004708431980048075,1.8013654876556597,0.07164529211529089,250,0.2751521721652028
mattr,0.2Alpha_AllSigNeurons,0.0002360273887472465,Gaussian,0.010774939561673082,0.00402979779015021,2.6738164351595044,0.007499348830385448,250,0.06749413947346904
mattr,0.6Alpha_2000Neurons,0.0002360273887472465,Gaussian,0.007451715653146425,0.004418692911818751,1.6864072253618707,0.09171739072173427,250,0.2751521721652028
mattr,0.6Alpha_10000Neurons,0.0002360273887472465,Gaussian,0.0024596543390023656,0.004876871800922329,0.5043508296726579,0.6140148643945519,250,0.9402285751933617
mattr,0.6Alpha_AllSigNeurons,0.0002360273887472465,Gaussian,-0.0026591915900038908,0.005678622103927438,-0.46828113252416387,0.6395835591291446,250,0.9402285751933617
mattr,-0.6Alpha_2000Neurons,0.0002360273887472465,Gaussian,0.0006301717434556214,0.003039586080746719,0.2073215650799435,0.8357587335052103,250,0.9402285751933617
mattr,-0.6Alpha_10000Neurons,0.0002360273887472465,Gaussian,-0.002688812659738629,0.004167585338434502,-0.6451727898506922,0.5188152173263808,250,0.9402285751933617
mattr,-0.6Alpha_AllSigNeurons,0.0002360273887472465,Gaussian,0.00020987843637143886,0.003994750173865652,0.052538563674018955,0.9580995683821724,250,0.9580995683821724
DEPID_R,0.2Alpha_2000Neurons,0.0004513173886151755,Gaussian,-0.0015156067681119912,0.006040527209149553,-0.2509063721816053,0.8018864976879236,250,0.8026781905372784
DEPID_R,0.2Alpha_10000Neurons,0.0004513173886151755,Gaussian,-0.001618022184174597,0.006475131162886596,-0.24988253418688852,0.8026781905372784,250,0.8026781905372784
DEPID_R,0.2Alpha_AllSigNeurons,0.0004513173886151755,Gaussian,0.0036231144006273934,0.006197580232435912,0.5846014516545203,0.5588157313777457,250,0.7184773689142444
DEPID_R,0.6Alpha_2000Neurons,0.0004513173886151755,Gaussian,0.005617145331706636,0.005239780948549954,1.0720191143221574,0.28371144690092465,250,0.6631117977573197
DEPID_R,0.6Alpha_10000Neurons,0.0004513173886151755,Gaussian,-0.015333658391674764,0.005478189948427188,-2.7990373711077914,0.005125520499425569,250,0.023064842247415063
DEPID_R,0.6Alpha_AllSigNeurons,0.0004513173886151755,Gaussian,-0.03831495334284618,0.00583280156790069,-6.56887653331164,5.0696297107246504e-11,250,4.5626667396521855e-10
DEPID_R,-0.6Alpha_2000Neurons,0.0004513173886151755,Gaussian,-0.004456142774723832,0.005797024986477445,-0.7686947675951973,0.4420745318382131,250,0.6631117977573197
DEPID_R,-0.6Alpha_10000Neurons,0.0004513173886151755,Gaussian,-0.004191768539562268,0.005424091190724076,-0.7728056907912527,0.43963738499440097,250,0.6631117977573197
DEPID_R,-0.6Alpha_AllSigNeurons,0.0004513173886151755,Gaussian,0.004986567013192834,0.004908634220852891,1.0158766754322146,0.30968811726979784,250,0.6631117977573197
LexicalH,0.2Alpha_2000Neurons,0.022111979704050412,Gaussian,0.06917497730578777,0.048617668769684215,1.4228361634016102,0.15478365527724447,250,0.3417784583497545
LexicalH,0.2Alpha_10000Neurons,0.022111979704050412,Gaussian,0.0023291314180504483,0.04310681425586287,0.05403162952905219,0.956909964320166,250,0.956909964320166
LexicalH,0.2Alpha_AllSigNeurons,0.022111979704050412,Gaussian,-0.054142690359718436,0.041392597299519066,-1.3080283406218511,0.19086369688229954,250,0.3417784583497545
LexicalH,0.6Alpha_2000Neurons,0.022111979704050412,Gaussian,0.016217327730119357,0.03476662200245659,0.4664625665666757,0.6408844360243453,250,0.7209949905273885
LexicalH,0.6Alpha_10000Neurons,0.022111979704050412,Gaussian,-0.24519584172367165,0.04706837268111732,-5.209354557142746,1.8949868589133673e-07,250,8.527440865110153e-07
LexicalH,0.6Alpha_AllSigNeurons,0.022111979704050412,Gaussian,-0.3819681166483804,0.050300487014313645,-7.593726011831386,3.1083529036736925e-14,250,2.7975176133063233e-13
LexicalH,-0.6Alpha_2000Neurons,0.022111979704050412,Gaussian,-0.04537877251503334,0.04078175670895575,-1.112722358648863,0.26582768982758687,250,0.3417784583497545
LexicalH,-0.6Alpha_10000Neurons,0.022111979704050412,Gaussian,0.05295686491972242,0.044991220591026664,1.177048860289967,0.23917600496717617,250,0.3417784583497545
LexicalH,-0.6Alpha_AllSigNeurons,0.022111979704050412,Gaussian,0.16941040491816267,0.0413928508156309,4.092745524408031,4.262954782100296e-05,250,0.0001278886434630089
clause_ratio,0.2Alpha_2000Neurons,0.00020462896764243378,Gaussian,-0.007913270483609356,0.0037530630993075323,-2.108483197383335,0.03498921466150535,250,0.15745146597677406
clause_ratio,0.2Alpha_10000Neurons,0.00020462896764243378,Gaussian,-0.00387250893135023,0.002802745885551177,-1.3816839233674152,0.16706877279226762,250,0.3007237910260817
clause_ratio,0.2Alpha_AllSigNeurons,0.00020462896764243378,Gaussian,-0.0025773222828985986,0.003967594967942949,-0.6495930919669566,0.5159550964620567,250,0.7739326446930851
clause_ratio,0.6Alpha_2000Neurons,0.00020462896764243378,Gaussian,-0.0013643411191240787,0.0033133433234305188,-0.4117717320375626,0.6805067425151956,250,0.7802235278726083
clause_ratio,0.6Alpha_10000Neurons,0.00020462896764243378,Gaussian,-0.012238280661002987,0.004577292029893132,-2.673694529664676,0.007502075199074678,250,0.0675186767916721
clause_ratio,0.6Alpha_AllSigNeurons,0.00020462896764243378,Gaussian,-0.0018741904427030068,0.004756027139081948,-0.3940663894245104,0.6935320247756518,250,0.7802235278726083
clause_ratio,-0.6Alpha_2000Neurons,0.00020462896764243378,Gaussian,0.0009250254696199545,0.0035745593398317757,0.2587802807781861,0.7958047734013838,250,0.7958047734013838
clause_ratio,-0.6Alpha_10000Neurons,0.00020462896764243378,Gaussian,0.004441412696961602,0.0028924647935633014,1.5355114111830248,0.12465825625771927,250,0.3007237910260817
clause_ratio,-0.6Alpha_AllSigNeurons,0.00020462896764243378,Gaussian,-0.004486543812261198,0.0032118743804382625,-1.3968615458892906,0.16245521022652076,250,0.3007237910260817
