task,var,condition,pearson_ratio,family,beta,se,z,p,n_obs,p_adj
animal,correctness_ratio,0.6Alpha_10000Neurons,0.015141646090534979,Gaussian,-0.06733333333333333,0.018098004801020782,-3.720483781147827,0.00019884151213268552,250,0.0008947868045970849
animal,correctness_ratio,0.6Alpha_AllSigNeurons,0.015141646090534979,Gaussian,-0.984,0.015676734353814066,-62.76817465881203,0.0,250,0.0
animal,correctness_ratio,-0.6Alpha_2000Neurons,0.015141646090534979,Gaussian,0.007999999999999991,0.016576288285783006,0.4826170890657926,0.629367642926456,250,0.629367642926456
animal,correctness_ratio,-0.6Alpha_10000Neurons,0.015141646090534979,Gaussian,0.013333333333333308,0.016000000000001728,0.8333333333332418,0.4046567619273377,250,0.629367642926456
animal,correctness_ratio,-0.6Alpha_AllSigNeurons,0.015141646090534979,Gaussian,0.010666666666666703,0.016730012950783805,0.6375767130632716,0.5237492584266644,250,0.629367642926456
letter,total_num,0.2Alpha_2000Neurons,0.3159824283649576,Gamma,-0.0829798931923234,0.09392310537857453,-0.8834875386398005,0.3769729124339337,250,0.3769729124339337
letter,total_num,0.2Alpha_10000Neurons,0.3159824283649576,Gamma,-0.08545479644336647,0.07451998761138215,-1.146736589504131,0.2514905033700595,250,0.282926816291317
letter,total_num,0.2Alpha_AllSigNeurons,0.3159824283649576,Gamma,-0.5067452272154327,0.17414226079568965,-2.909949743962297,0.0036148687748705573,250,0.010844606324611672
letter,total_num,0.6Alpha_2000Neurons,0.3159824283649576,Gamma,-0.5814500398907863,0.1314289944428238,-4.424062151245761,9.686213458564569e-06,250,4.358796056354056e-05
letter,total_num,0.6Alpha_10000Neurons,0.3159824283649576,Gamma,-0.22264283457486175,0.16415823866205484,-1.3562696358676614,0.17501339282381612,250,0.22501721934490643
letter,total_num,0.6Alpha_AllSigNeurons,0.3159824283649576,Gamma,-81.87844424953984,0.2092787737011301,-391.24103606641927,0.0,250,0.0
letter,total_num,-0.6Alpha_2000Neurons,0.3159824283649576,Gamma,0.12408329784396152,0.07563937515435967,1.6404590544374646,0.10090975526710441,250,0.15136463290065663
letter,total_num,-0.6Alpha_10000Neurons,0.3159824283649576,Gamma,0.18943560817712743,0.07314610157353517,2.5898250775085288,0.009602471159353192,250,0.021605560108544683
letter,total_num,-0.6Alpha_AllSigNeurons,0.3159824283649576,Gamma,0.11836483593850053,0.05821076289615005,2.0333840350051307,0.042013739014174024,250,0.07562473022551323
letter,correctness_ratio,0.2Alpha_2000Neurons,0.0593865149134383,Gaussian,-0.058166666666666644,0.06594841418361623,-0.8820025073645693,0.37777545135293733,250,0.37777545135293733
letter,correctness_ratio,0.2Alpha_10000Neurons,0.0593865149134383,Gaussian,-0.05785714285714284,0.05191571531433303,-1.1144437191481686,0.26508887646884083,250,0.29822498602744596
letter,correctness_ratio,0.2Alpha_AllSigNeurons,0.0593865149134383,Gaussian,-0.2855,0.08732287469183068,-3.269475506933916,0.0010774706506555692,250,0.003232411951966708
letter,correctness_ratio,0.6Alpha_2000Neurons,0.0593865149134383,Gaussian,-0.3272380952380953,0.06289099268934802,-5.203258546967097,1.9582412943236965e-07,250,8.812085824456635e-07
letter,correctness_ratio,0.6Alpha_10000Neurons,0.0593865149134383,Gaussian,-0.23522218406593406,0.09396304433729778,-2.5033478398332902,0.012302456761209555,250,0.0221444221701772
letter,correctness_ratio,0.6Alpha_AllSigNeurons,0.0593865149134383,Gaussian,-0.7498333333333334,0.0427398330990398,-17.544133398831153,6.595114631118538e-69,250,5.935603168006684e-68
letter,correctness_ratio,-0.6Alpha_2000Neurons,0.0593865149134383,Gaussian,0.09600000000000002,0.053190161997627834,1.8048450389055293,0.07109893429968407,250,0.09141291552816523
letter,correctness_ratio,-0.6Alpha_10000Neurons,0.0593865149134383,Gaussian,0.14733333333333332,0.05209600112613094,2.8281121419784383,0.004682340116338911,250,0.01053526526176255
letter,correctness_ratio,-0.6Alpha_AllSigNeurons,0.0593865149134383,Gaussian,0.0846904761904762,0.04165750266572613,2.0330185625879014,0.04205064765581971,250,0.06307597148372956
