condition,mean,std,n,se,ci,ci_low,ci_high,alpha,scope,p_adj,task_index,folder,task_label,var,outcome
0.6Alpha_AllSigNeurons,0.06075771149721424,0.02099638592358306,25,0.004199277184716612,0.00823058328204456,0.05252712821516968,0.0689882947792588,0.6,AllSig,0.7802235278726083,1,delayed_recall,"Delayed
recall",clause_ratio,"Clause
ratio"
Original,0.05652917787997789,0.01124409323756345,25,0.00224881864751269,0.004407684549124872,0.052121493330853017,0.06093686242910276,0.0,Original,,2,scene_construction,"Scene
construction",clause_ratio,"Clause
ratio"
-0.6Alpha_2000Neurons,0.06293170762951913,0.009144723006207,25,0.0018289446012414,0.003584731418433144,0.05934697621108599,0.06651643904795228,-0.6,2000,0.1428288827879311,2,scene_construction,"Scene
construction",clause_ratio,"Clause
ratio"
-0.6Alpha_10000Neurons,0.062022072006940106,0.01649144135844372,25,0.0032982882716887443,0.006464645012509939,0.05555742699443017,0.06848671701945004,-0.6,10000,0.33553702582867,2,scene_construction,"Scene
construction",clause_ratio,"Clause
ratio"
-0.6Alpha_AllSigNeurons,0.0625802842675327,0.011690967192297508,25,0.0023381934384595015,0.004582859139380622,0.057997425128152084,0.06716314340691333,-0.6,AllSig,0.1428288827879311,2,scene_construction,"Scene
construction",clause_ratio,"Clause
ratio"
0.2Alpha_2000Neurons,0.06080232199152711,0.01200764220579373,25,0.002401528441158746,0.004706995744671142,0.05609532624685597,0.06550931773619825,0.2,2000,0.33553702582867,2,scene_construction,"Scene
construction",clause_ratio,"Clause
ratio"
0.2Alpha_10000Neurons,0.055210967443788145,0.014281886050316609,25,0.002856377210063322,0.005598499331724111,0.04961246811206403,0.06080946677551226,0.2,10000,0.8611617321702635,2,scene_construction,"Scene
construction",clause_ratio,"Clause
ratio"
0.2Alpha_AllSigNeurons,0.0562297426136742,0.014593564753042224,25,0.0029187129506084448,0.005720677383192552,0.050509065230481646,0.061950419996866755,0.2,AllSig,0.9254364699821632,2,scene_construction,"Scene
construction",clause_ratio,"Clause
ratio"
0.6Alpha_2000Neurons,0.05757225560855811,0.013622137120224856,25,0.002724427424044971,0.005339877751128144,0.052232377857429964,0.06291213335968625,0.6,2000,0.8704573118877686,2,scene_construction,"Scene
construction",clause_ratio,"Clause
ratio"
0.6Alpha_10000Neurons,0.049802070777280605,0.01629551304533809,25,0.003259102609067618,0.0063878411137725305,0.043414229663508073,0.056189911891053136,0.6,10000,0.1428288827879311,2,scene_construction,"Scene
construction",clause_ratio,"Clause
ratio"
