task,metric,metric_label,contrast,comparison,scope,condition_a,condition_b,mean_a,mean_b,raw_mean_difference_a_minus_b,gee_estimate,se,z,p,family,pearson_ratio,n_obs,converged,q,significant_fdr
Immediate recall,immediate_entity_n,Entities recalled,Random AllSig vs Original,random_vs_original,AllSig,0.6Alpha_AllSigRandomNeurons,Original,6.88,7.0,-0.1200000000000001,-0.12000000000000004,0.06499230723708732,-1.8463723646900019,0.06483815699206488,Gaussian identity,0.08175,125,True,0.12967631398412977,False
Immediate recall,immediate_entity_n,Entities recalled,Random 10k vs AD 10k,random_vs_ad,10000,0.6Alpha_10000RandomNeurons,0.6Alpha_10000Neurons,6.92,6.98,-0.0600000000000005,-0.06000000000000011,0.0587877538267963,-1.020620726159659,0.3074341659273947,Gaussian identity,0.08175,125,True,0.3074341659273947,False
Immediate recall,immediate_entity_n,Entities recalled,Random AllSig vs AD AllSig,random_vs_ad,AllSig,0.6Alpha_AllSigRandomNeurons,0.6Alpha_AllSigNeurons,6.88,6.66,0.21999999999999975,0.21999999999999964,0.10613199329137286,2.07289049397212,0.03818247191368397,Gaussian identity,0.08175,125,True,0.12967631398412977,False
Immediate recall,immediate_event_n,Events recalled,Random 10k vs Original,random_vs_original,10000,0.6Alpha_10000RandomNeurons,Original,11.4,11.38,0.019999999999999574,0.02000000000000002,0.1928315326911014,0.10371747670562886,0.9173935570506471,Gaussian identity,0.6401249999999999,125,True,0.9214939304510664,False
Immediate recall,immediate_event_n,Events recalled,Random AllSig vs Original,random_vs_original,AllSig,0.6Alpha_AllSigRandomNeurons,Original,10.64,11.38,-0.7400000000000002,-0.7400000000000003,0.23852882425400715,-3.1023504279381395,0.0019199054068018745,Gaussian identity,0.6401249999999999,125,True,0.003839810813603749,True
Immediate recall,immediate_event_n,Events recalled,Random 10k vs AD 10k,random_vs_ad,10000,0.6Alpha_10000RandomNeurons,0.6Alpha_10000Neurons,11.4,11.38,0.019999999999999574,0.019999999999999643,0.20293841430345325,0.09855206599817863,0.9214939304510664,Gaussian identity,0.6401249999999999,125,True,0.9214939304510664,False
Immediate recall,immediate_event_n,Events recalled,Random AllSig vs AD AllSig,random_vs_ad,AllSig,0.6Alpha_AllSigRandomNeurons,0.6Alpha_AllSigNeurons,10.64,9.82,0.8200000000000003,0.8199999999999991,0.2414622123645853,3.3959765048531736,0.0006838422928488057,Gaussian identity,0.6401249999999999,125,True,0.0027353691713952227,True
Delayed recall,delay_entity_n,Entities recalled,Random 10k vs Original,random_vs_original,10000,0.6Alpha_10000RandomNeurons,Original,7.0,6.96,0.040000000000000036,0.039999999999999966,0.027129319932500794,1.4744195615489852,0.14036866077166946,Gaussian identity,0.15550000000000003,125,True,0.18715821436222593,False
Delayed recall,delay_entity_n,Entities recalled,Random AllSig vs Original,random_vs_original,AllSig,0.6Alpha_AllSigRandomNeurons,Original,6.8,6.96,-0.16000000000000014,-0.1599999999999997,0.08818163074019404,-1.814436846506062,0.0696104973294964,Gaussian identity,0.15550000000000003,125,True,0.1392209946589928,False
Delayed recall,delay_entity_n,Entities recalled,Random 10k vs AD 10k,random_vs_ad,10000,0.6Alpha_10000RandomNeurons,0.6Alpha_10000Neurons,7.0,6.92,0.08000000000000007,0.07999999999999988,0.03666060555964673,2.1821789023599196,0.0290963317412525,Gaussian identity,0.15550000000000003,125,True,0.11638532696501,False
Delayed recall,delay_entity_n,Entities recalled,Random AllSig vs AD AllSig,random_vs_ad,AllSig,0.6Alpha_AllSigRandomNeurons,0.6Alpha_AllSigNeurons,6.8,6.58,0.21999999999999975,0.22000000000000008,0.16752313273097552,1.3132514681020016,0.1890982261822366,Gaussian identity,0.15550000000000003,125,True,0.1890982261822366,False
Delayed recall,delay_event_n,Events recalled,Random 10k vs Original,random_vs_original,10000,0.6Alpha_10000RandomNeurons,Original,11.4,11.46,-0.0600000000000005,-0.05999999999999963,0.17045820602129855,-0.35199244084795017,0.7248439314993083,Gaussian identity,0.6877916666666667,125,True,0.8053091914035355,False
