var,condition,pearson_ratio,family,beta,se,z,p,n_obs,p_adj
dglt_backward_error,0.2Alpha_2000Neurons,0.05062962962962963,Gaussian,0.07999999999999999,0.054258639865003726,1.4744195615489282,0.14036866077168486,250,0.14036866077168486
dglt_backward_error,0.2Alpha_10000Neurons,0.05062962962962963,Gaussian,0.6799999999999999,0.09329523031752632,7.288689868556507,3.129835813272875e-13,250,5.216393022121459e-13
dglt_backward_error,0.2Alpha_AllSigNeurons,0.05062962962962963,Gaussian,1.0,,,,250,
dglt_backward_error,0.6Alpha_2000Neurons,0.05062962962962963,Gaussian,0.32,0.09329523031752646,3.429971702850116,0.0006036441981335674,250,0.0007545552476669592
dglt_backward_error,0.6Alpha_10000Neurons,0.05062962962962963,Gaussian,1.0,5.593426224769905e-10,1787812978.69203,0.0,250,0.0
dglt_backward_error,0.6Alpha_AllSigNeurons,0.05062962962962963,Gaussian,1.0,8.777308237021478e-10,1139301449.8250587,0.0,250,0.0
dglt_backward_error,-0.6Alpha_2000Neurons,0.05062962962962963,Gaussian,-1.3231204860383684e-17,,,,250,
dglt_backward_error,-0.6Alpha_10000Neurons,0.05062962962962963,Gaussian,-1.7614931205404473e-17,,,,250,
dglt_backward_error,-0.6Alpha_AllSigNeurons,0.05062962962962963,Gaussian,-1.7573311991475996e-17,,,,250,
total_error,0.2Alpha_2000Neurons,0.183037037037037,Gaussian,0.07999999999999997,0.05425863986500418,1.4744195615489157,0.14036866077168822,250,0.14036866077168822
total_error,0.2Alpha_10000Neurons,0.183037037037037,Gaussian,0.6799999999999999,0.09329523031752672,7.288689868556475,3.129835813273612e-13,250,5.216393022122687e-13
total_error,0.2Alpha_AllSigNeurons,0.183037037037037,Gaussian,1.0,,,,250,
total_error,0.6Alpha_2000Neurons,0.183037037037037,Gaussian,0.31999999999999995,0.09329523031752722,3.4299717028500876,0.00060364419813363,250,0.0007545552476670374
total_error,0.6Alpha_10000Neurons,0.183037037037037,Gaussian,1.56,0.09927738916792815,15.71354779849471,1.2214803672693895e-55,250,3.0537009181734737e-55
total_error,0.6Alpha_AllSigNeurons,0.183037037037037,Gaussian,3.2800000000000002,0.20800000000000343,15.76923076923051,5.066305939710382e-56,250,2.5331529698551908e-55
total_error,-0.6Alpha_2000Neurons,0.183037037037037,Gaussian,-2.170157840996301e-17,,,,250,
total_error,-0.6Alpha_10000Neurons,0.183037037037037,Gaussian,-2.446651870015944e-17,,,,250,
total_error,-0.6Alpha_AllSigNeurons,0.183037037037037,Gaussian,-2.1762573060023207e-17,,,,250,
