ID,EP,NONEP,OTHER
73a1a166f868eeec,0.836231884057971,0.16376811594202897,0.0
74e502424e3640ef,0.9131944444444444,0.08680555555555555,0.0
7680a3e16d9bcc61,0.9428104575163399,0.05718954248366013,0.0
77b66a13657d4138,1.0,0.0,0.0
79bbc29022d940f6,0.8710526315789473,0.12894736842105264,0.0
7be539a818787310,0.9411764705882353,0.058823529411764705,0.0
7c81aadd82c606c1,0.84375,0.13125,0.025
7ce41d53535f173f,0.9320175438596491,0.020833333333333332,0.04714912280701754
7e3e708779cce5f0,1.0,0.0,0.0
80f360bb80e9024e,0.9117647058823529,0.08823529411764705,0.0
81d20cfba9a33e39,1.0,0.0,0.0
822e7bc22251b9a2,0.8784722222222222,0.12152777777777778,0.0
8294dbafc136dedf,0.8273026315789473,0.11513157894736842,0.05756578947368421
844ecbf955462354,0.9372549019607843,0.06274509803921569,0.0
845cc6bd73cc1785,1.0,0.0,0.0
8582e932a77dec79,1.0,0.0,0.0
860119a954365359,0.8622291021671826,0.08204334365325078,0.05572755417956656
86909dcc208525cf,0.9055023923444976,0.022727272727272728,0.07177033492822966
879a5817d65ae73f,0.9179566563467492,0.08204334365325078,0.0
88931135d35b172b,1.0,0.0,0.0
88affc35a4046761,0.9523809523809523,0.047619047619047616,0.0
896e45dc31afce47,1.0,0.0,0.0
8b63b3987b5c1b34,0.7821428571428571,0.16904761904761906,0.04880952380952381
8de760d3fc4e4ee2,0.9393382352941176,0.0,0.06066176470588235
8eac65fb3663bc94,0.9705882352941176,0.029411764705882353,0.0
8fb1aa6e509c08f9,0.9117647058823529,0.08823529411764705,0.0
90d80625018427ae,0.8586309523809523,0.03125,0.11011904761904762
962a612238eccf99,0.9705882352941176,0.029411764705882353,0.0
96cb95c46c571493,0.9246031746031746,0.07539682539682539,0.0
971a9d160a56ebdd,0.8901098901098901,0.07142857142857142,0.038461538461538464
98596ace45ba1644,0.8872549019607843,0.05555555555555555,0.05718954248366013
989b83536c021730,0.9222222222222223,0.07777777777777778,0.0
9a8a77a8e6221492,0.9545454545454546,0.045454545454545456,0.0
9a9ad1382b5ebaee,0.9722222222222222,0.027777777777777776,0.0
9b0e7c4a3bc187b0,0.8666666666666667,0.13333333333333333,0.0
9b706a401405cc89,0.8654970760233918,0.13450292397660818,0.0
9b735ed5e180d261,0.9372549019607843,0.06274509803921569,0.0
9edc6bad4bcf8e05,1.0,0.0,0.0
9efd1afa572715be,0.9736842105263157,0.02631578947368421,0.0
9f7ae44b4b31fd65,1.0,0.0,0.0
a0deca3df713b500,1.0,0.0,0.0
a39f725d34e2d0b5,0.8723684210526316,0.12763157894736843,0.0
a441bf6e4aac2320,0.96875,0.03125,0.0
a485f9521d6a9fcc,0.96875,0.03125,0.0
a4dd9cb08d2bb183,0.9736842105263157,0.02631578947368421,0.0
a4f1f1b06844e2c4,0.9736842105263157,0.02631578947368421,0.0
a533a03c3bd4f1d8,1.0,0.0,0.0
a6b9f2cf0185314d,0.949874686716792,0.05012531328320802,0.0
a7748adde1db7e07,0.8597826086956522,0.14021739130434782,0.0
a8426571676d8535,0.9097222222222222,0.09027777777777778,0.0
a87621f3192a8d39,0.8932748538011696,0.1067251461988304,0.0
a93952b43ce46e04,0.9666666666666667,0.03333333333333333,0.0
aacec48a3ba6aefe,0.9722222222222222,0.027777777777777776,0.0
abca566961b17630,0.914860681114551,0.08513931888544891,0.0
ac01e50aa00f838b,0.9195906432748537,0.0804093567251462,0.0
ae6a211d4f7a3e0a,1.0,0.0,0.0
af43910df5ffab34,0.7777777777777778,0.2222222222222222,0.0
b0f9b61b58cb15f8,0.975,0.025,0.0
b122d6cfce96ca30,0.9424342105263157,0.05756578947368421,0.0
b41710571d28bc74,0.9523809523809523,0.047619047619047616,0.0
b45c50cd638f3f88,0.9054621848739496,0.09453781512605042,0.0
b4ebe510f9dd9f51,1.0,0.0,0.0
b526db8602d047e0,0.9428104575163399,0.0,0.05718954248366013
b68377eaceb6dd0e,0.9444444444444444,0.05555555555555555,0.0
b6e897ee8cf608de,0.9411764705882353,0.058823529411764705,0.0
b997855405d06ece,0.0,0.0,1.0
ba35286c22ef0e7e,0.9736842105263157,0.02631578947368421,0.0
bd2be24455cc817c,0.8768382352941176,0.0625,0.06066176470588235
bfca85dcb6c28b06,0.9722222222222222,0.027777777777777776,0.0
bfd6970592669574,0.9722222222222222,0.027777777777777776,0.0
c0ec6cf07923d1a4,0.8885448916408669,0.11145510835913312,0.0
c209640e2c50ae2c,0.9666666666666667,0.03333333333333333,0.0
c33c14ca66f10317,0.9736842105263157,0.02631578947368421,0.0
c3dcffa1b8f4a99e,0.94375,0.05625,0.0
c42ffb52722449f8,1.0,0.0,0.0
